Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
ecrbnvhafhugtkrbfbbgypv.kejiadmin.cn,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
tkiqcybvzaodsquksskzgthq.xmcm10.cn,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
cistaturko.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1
thunderteacher.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
meenchanrinwile.iusacom.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
m414933.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
link-ekii.login.mx5e49zt41.top,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
69820.fzz678.cc,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1
cxhkhzcbbbwjflhqysrs.yugftfytftg.cn,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
service.ss.qycb.net,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
sanghijimandir.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
repetas.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
dlkaiyun.cn,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
viewsnet.fbeumi.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
gjtnz.cn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
uligent.com,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
is.gd,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
hwji.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
kwclvswgyavmvr.top,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
viewscord.mcimsb.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
xiaomeiysmkydel1651.top,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
pennylane.cn,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
sbxba.cn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
is.gd,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
viewsncorn.vcxewt456.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
myatoaccount.com,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1
stams.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
skyLutraveL.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
bjkui.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
bcycpcb.com,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ekii-makein.wmeagp.cn,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
tarrhcubzhyndhxodgmkav.yugftfytftg.cn,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
trasuamenaungona.icu,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
bfnhqrf.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
reurl.cc,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
tgljik.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
vamonos.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
stsgsc.cn,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
continuekl-eqweheckout.wikaba.com,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1
antoinette.cn,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
shfmhld.top,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
smtp.sungwoneng.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
